file,legacy_call,endpoint,method,domain,classification,replacement,query_key,invalidation,status,tests
app/(private)/layout.tsx,apiFetch,/notifications/summary,GET,shared,SERVER_STATE_EFFECT,useSharedQuery / customClient,"[""shared"", ""/notifications/summary""]","queryClient.invalidateQueries([""shared"", ""/notifications/summary""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/page.tsx,apiFetch,/auth/me,POST,auth,MUTATION,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/page.tsx,apiFetch,/watchlist,POST,watchlist,MUTATION,useWatchlistQuery / customClient,"[""watchlist"", ""/watchlist""]","queryClient.invalidateQueries([""watchlist"", ""/watchlist""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/page.tsx,apiFetch,/admin/product-metrics,POST,admin,MUTATION,useAdminQuery / customClient,"[""admin"", ""/admin/product-metrics""]","queryClient.invalidateQueries([""admin"", ""/admin/product-metrics""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/page.tsx,apiFetch,/auth/me,POST,auth,MUTATION,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/hotels-observability/page.tsx,apiFetch,/admin/hotels/health?window_hours=24,GET,admin,SERVER_STATE_EFFECT,useAdminQuery / customClient,"[""admin"", ""/admin/hotels/health?window_hours=24""]","queryClient.invalidateQueries([""admin"", ""/admin/hotels/health?window_hours=24""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/hotels-observability/page.tsx,apiFetch,/admin/hotels/runs?limit=8,GET,admin,SERVER_STATE_EFFECT,useAdminQuery / customClient,"[""admin"", ""/admin/hotels/runs?limit=8""]","queryClient.invalidateQueries([""admin"", ""/admin/hotels/runs?limit=8""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/hotels-observability/page.tsx,apiFetch,/admin/hotels/provider-controls?limit=50,GET,admin,SERVER_STATE_EFFECT,useAdminQuery / customClient,"[""admin"", ""/admin/hotels/provider-controls?limit=50""]","queryClient.invalidateQueries([""admin"", ""/admin/hotels/provider-controls?limit=50""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/hotels-observability/page.tsx,apiFetch,/admin/hotels/sweep-leases?limit=20,GET,admin,SERVER_STATE_EFFECT,useAdminQuery / customClient,"[""admin"", ""/admin/hotels/sweep-leases?limit=20""]","queryClient.invalidateQueries([""admin"", ""/admin/hotels/sweep-leases?limit=20""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/hotels-observability/page.tsx,apiFetch,/admin/hotels/provider-outcomes?limit=20,GET,admin,SERVER_STATE_EFFECT,useAdminQuery / customClient,"[""admin"", ""/admin/hotels/provider-outcomes?limit=20""]","queryClient.invalidateQueries([""admin"", ""/admin/hotels/provider-outcomes?limit=20""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/hotels-observability/page.tsx,apiFetch,/auth/me,GET,auth,SERVER_STATE_EFFECT,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/product-health/page.tsx,apiFetch,/auth/me,GET,auth,SERVER_STATE_EFFECT,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/product-health/page.tsx,apiFetch,/admin/product-health,GET,admin,SERVER_STATE_EFFECT,useAdminQuery / customClient,"[""admin"", ""/admin/product-health""]","queryClient.invalidateQueries([""admin"", ""/admin/product-health""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/admin/product-health/page.tsx,apiFetch,/admin/fare-memory-health,GET,admin,SERVER_STATE_EFFECT,useAdminQuery / customClient,"[""admin"", ""/admin/fare-memory-health""]","queryClient.invalidateQueries([""admin"", ""/admin/fare-memory-health""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/cuenta/perfil/page.tsx,apiFetch,/account/profile,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/account/profile""]","queryClient.invalidateQueries([""shared"", ""/account/profile""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/cuenta/perfil/page.tsx,apiFetch,/account/profile,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/account/profile""]","queryClient.invalidateQueries([""shared"", ""/account/profile""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/cuenta/perfil/page.tsx,apiFetch,/account/sessions/close_all,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/account/sessions/close_all""]","queryClient.invalidateQueries([""shared"", ""/account/sessions/close_all""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/cuenta/perfil/page.tsx,apiFetch,/account,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/account""]","queryClient.invalidateQueries([""shared"", ""/account""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/cuenta/seguridad/page.tsx,apiFetch,/account/security/activity,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/account/security/activity""]","queryClient.invalidateQueries([""shared"", ""/account/security/activity""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/cuenta/seguridad/page.tsx,apiFetch,/account/security/password,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/account/security/password""]","queryClient.invalidateQueries([""shared"", ""/account/security/password""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/dashboard/page.tsx,apiFetch,/auth/me,POST,auth,MUTATION,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/dashboard/page.tsx,apiFetch,/watchlist,POST,watchlist,MUTATION,useWatchlistQuery / customClient,"[""watchlist"", ""/watchlist""]","queryClient.invalidateQueries([""watchlist"", ""/watchlist""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/dashboard/page.tsx,apiFetch,/notes,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/notes""]","queryClient.invalidateQueries([""shared"", ""/notes""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/dashboard/page.tsx,apiFetch,/notifications/summary,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/notifications/summary""]","queryClient.invalidateQueries([""shared"", ""/notifications/summary""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/dashboard/page.tsx,apiFetch,/notes,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/notes""]","queryClient.invalidateQueries([""shared"", ""/notes""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/preferencias/apariencia/page.tsx,apiFetch,/preferences/appearance,GET,preferences,SERVER_STATE_EFFECT,usePreferencesQuery / customClient,"[""preferences"", ""/preferences/appearance""]","queryClient.invalidateQueries([""preferences"", ""/preferences/appearance""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/preferencias/apariencia/page.tsx,apiFetch,/preferences/appearance,GET,preferences,SERVER_STATE_EFFECT,usePreferencesQuery / customClient,"[""preferences"", ""/preferences/appearance""]","queryClient.invalidateQueries([""preferences"", ""/preferences/appearance""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/preferencias/busqueda/page.tsx,apiFetch,/preferences/search,GET,search,SERVER_STATE_EFFECT,useSearchQuery / customClient,"[""search"", ""/preferences/search""]","queryClient.invalidateQueries([""search"", ""/preferences/search""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/preferencias/busqueda/page.tsx,apiFetch,/preferences/search,GET,search,SERVER_STATE_EFFECT,useSearchQuery / customClient,"[""search"", ""/preferences/search""]","queryClient.invalidateQueries([""search"", ""/preferences/search""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/preferencias/region/page.tsx,apiFetch,/preferences/region,GET,preferences,SERVER_STATE_EFFECT,usePreferencesQuery / customClient,"[""preferences"", ""/preferences/region""]","queryClient.invalidateQueries([""preferences"", ""/preferences/region""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/preferencias/region/page.tsx,apiFetch,/preferences/region,GET,preferences,SERVER_STATE_EFFECT,usePreferencesQuery / customClient,"[""preferences"", ""/preferences/region""]","queryClient.invalidateQueries([""preferences"", ""/preferences/region""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/soporte/contacto/SoporteContactoClient.tsx,apiFetch,/auth/me,POST,auth,MUTATION,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/soporte/contacto/SoporteContactoClient.tsx,apiFetch,/support/feedback,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/support/feedback""]","queryClient.invalidateQueries([""shared"", ""/support/feedback""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(private)/soporte/feedback/SoporteFeedbackClient.tsx,apiFetch,/support/feedback,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""/support/feedback""]","queryClient.invalidateQueries([""shared"", ""/support/feedback""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(public)/page.tsx,apiFetch,/auth/me,GET,auth,SERVER_STATE_EFFECT,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(public)/login/page.tsx,apiFetch,/auth/me,GET,auth,SERVER_STATE_EFFECT,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(public)/prueba/page.tsx,apiFetch,/auth/me,GET,auth,SERVER_STATE_EFFECT,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
app/(public)/register/page.tsx,apiFetch,/auth/me,GET,auth,SERVER_STATE_EFFECT,useAuthQuery / customClient,"[""auth"", ""/auth/me""]","queryClient.invalidateQueries([""auth"", ""/auth/me""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
lib/errorLogging.ts,apiFetch,helper_bridge,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""helper_bridge""]","queryClient.invalidateQueries([""shared"", ""helper_bridge""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
lib/uxTracking.ts,apiFetch,helper_bridge,POST,shared,MUTATION,useSharedQuery / customClient,"[""shared"", ""helper_bridge""]","queryClient.invalidateQueries([""shared"", ""helper_bridge""])",MIGRATED_ORVAL_COMPATIBLE,tests/orval-client.test.ts
